Ethereum Level 2 Problem,Ethereum Level 2 Problem Description,Ethereum Level 1 Problem,Ethereum Level 1 Problem Description
Core Libraries and SDKs,"Many widely-used Ethereum libraries, frameworks, and languages (solidity compilers, testing frameworks, etc.) are maintained by small teams on shoestring budgets. Gaps or bugs in these core tools can lead to security issues or slow development for hundreds of projects.",Developer Experience & Tooling,"This area is crucial for scalability (better dev tools lead to more efficient and secure dApps, which indirectly improves network performance) and for risk reduction (preventing hacks through improved tooling)."
Smart Contract Development Tools,"High-quality IDEs, debuggers, formal verification tools, and security analysis software are needed to help developers write safe and efficient contracts. Without better tooling, developers may inadvertently deploy vulnerabilities or turn to more centralized tech to fill gaps",Developer Experience & Tooling,"This area is crucial for scalability (better dev tools lead to more efficient and secure dApps, which indirectly improves network performance) and for risk reduction (preventing hacks through improved tooling)."
Testing and Simulation Infrastructure,"Robust test networks, fork simulation tools, and monitoring systems allow teams to validate upgrades and dApps. Insufficient testing infrastructure increases the risk of failures on mainnet.",Developer Experience & Tooling,"This area is crucial for scalability (better dev tools lead to more efficient and secure dApps, which indirectly improves network performance) and for risk reduction (preventing hacks through improved tooling)."
Documentation & Education for Devs,"Steep learning curves and evolving best practices can discourage new Ethereum developers. Clear, up-to-date documentation, interactive tutorials, and educational resources are essential to grow the pool of competent builders.",Developer Experience & Tooling,"This area is crucial for scalability (better dev tools lead to more efficient and secure dApps, which indirectly improves network performance) and for risk reduction (preventing hacks through improved tooling)."
Coordination of Open-Source Efforts,"Many dev tools are open-source public goods that see duplicated effort and lack sustainable funding. Better coordination (e.g. shared standards, grants, and recognition for maintainer work) can reduce fragmentation.",Developer Experience & Tooling,"This area is crucial for scalability (better dev tools lead to more efficient and secure dApps, which indirectly improves network performance) and for risk reduction (preventing hacks through improved tooling)."
Client Diversity & Maintenance,"Ensuring multiple Ethereum client implementations (Prysm, Lighthouse, Geth, Nethermind, etc.) remain robust and in sync. This requires ongoing support for client teams and testing to prevent consensus splits.",Core Infrastructure & Interoperability,"Beyond the protocol and developer tools, the ecosystem relies on a broad infrastructure layer that includes client software, networking, cross-chain coordination, and data access. This category covers the “plumbing” that many take for granted."
Node Infrastructure & Services,"Running nodes should be feasible for the community. Efforts to improve node software performance, provide easy deployment (light nodes, archival nodes, API services), and support those operating infrastructure (like Infura-alternatives, decentralized RPC networks) are important.",Core Infrastructure & Interoperability,"Beyond the protocol and developer tools, the ecosystem relies on a broad infrastructure layer that includes client software, networking, cross-chain coordination, and data access. This category covers the “plumbing” that many take for granted."
Cross-Chain Interoperability,"The Ethereum ecosystem now spans L1, many L2s, and sidechains. Standards for messaging and bridging (like ERC standards, CCIP, or trust-minimized bridges) are needed so that these networks can interoperate safely. Without common standards, we risk fragmentation and security holes between chains.",Core Infrastructure & Interoperability,"Beyond the protocol and developer tools, the ecosystem relies on a broad infrastructure layer that includes client software, networking, cross-chain coordination, and data access. This category covers the “plumbing” that many take for granted."
Data Indexing & Analytics,"Public goods like block explorers, analytics dashboards, and indexing protocols (The Graph, etc.) enable the community to query and understand blockchain data. Supporting open indexing infrastructure and common data standards ensures transparency and eases development (projects don’t each need to build their own indexers).",Core Infrastructure & Interoperability,"Beyond the protocol and developer tools, the ecosystem relies on a broad infrastructure layer that includes client software, networking, cross-chain coordination, and data access. This category covers the “plumbing” that many take for granted."
Monitoring & Alerting Infrastructure,"For the health of Ethereum, community infrastructure to monitor network metrics (latency, fork rates, validator performance) and detect anomalies is vital. Many such tools are maintained by volunteers. Strengthening this “DevOps” layer contributes to resilience.",Core Infrastructure & Interoperability,"Beyond the protocol and developer tools, the ecosystem relies on a broad infrastructure layer that includes client software, networking, cross-chain coordination, and data access. This category covers the “plumbing” that many take for granted."
Wallet UX & Key Management,"Using Ethereum today often involves confusing interfaces, seed phrases, and unpredictable fees. Smoother wallet experiences – such as smart contract wallets with account abstraction (ERC-4337) for sponsored fees or social recovery are needed to onboard non-technical users.",User Experience & Adoption,"Ethereum’s scalability impact and security both ultimately benefit from broader adoption: more users bring more value and security to the network, and real-world applications drive demand for scalability and privacy features."
Usability of Dapps,"Many decentralized applications have clunky UI/UX compared to Web2. Better design principles, performant front-ends, and user-centric features (human-readable names, gas estimations, fee smoothing) will make Ethereum apps more accessible",User Experience & Adoption,"Ethereum’s scalability impact and security both ultimately benefit from broader adoption: more users bring more value and security to the network, and real-world applications drive demand for scalability and privacy features."
Education & Community Outreach,"There is still a knowledge gap for new users and developers unfamiliar with Web3. Public education, clear documentation, and outreach programs help demystify Ethereum and attract the next wave of users/developers",User Experience & Adoption,"Ethereum’s scalability impact and security both ultimately benefit from broader adoption: more users bring more value and security to the network, and real-world applications drive demand for scalability and privacy features."
Real-World Integration,"Beyond crypto-native circles, Ethereum is largely absent from many real-world problem-solving efforts today. Engaging with industries like finance, supply chain, identity, and public sector (e.g. supporting projects that implement Ethereum for digital ID, aid distribution, or climate tracking) will realize Ethereum’s potential as a “world computer.”",User Experience & Adoption,"Ethereum’s scalability impact and security both ultimately benefit from broader adoption: more users bring more value and security to the network, and real-world applications drive demand for scalability and privacy features."
Localized and Inclusive Adoption,"Ensuring Ethereum tools and content are accessible in multiple languages and suited for diverse economic contexts (e.g. supporting low-cost mobile access, offline solutions, Layer-2 onboarding for users in developing countries) so that the network truly becomes global and inclusive.",User Experience & Adoption,"Ethereum’s scalability impact and security both ultimately benefit from broader adoption: more users bring more value and security to the network, and real-world applications drive demand for scalability and privacy features."
Sustainable Funding Mechanisms,"How to continuously deploy funds to essential projects (clients, libraries, research) without relying on one-off grants or altruism. Challenges include designing funding streams (treasury inflows, protocol revenue allocation) and deciding when and how funds should flow for maximum impact.",Ecosystem Funding & Coordination,"Sustaining Ethereum’s long-term progress requires robust public goods funding (PGF) and governance mechanisms. The past few years have seen multiple experiments (Gitcoin QF rounds, DAO grants, Protocol Guild, Optimism RetroPGF, etc.), yet several core problems remain unsolved in funding Ethereum’s public goods."
Allocation Effectiveness,"Determining who decides funding priorities and how to aggregate preferences is an open question. Quadratic funding, token-weight votes, and committee review each have trade-offs in fairness and efficiency. The community is still exploring how to best allocate resources in a way that reflects ecosystem needs without succumbing to plutocracy or collusion.",Ecosystem Funding & Coordination,"Sustaining Ethereum’s long-term progress requires robust public goods funding (PGF) and governance mechanisms. The past few years have seen multiple experiments (Gitcoin QF rounds, DAO grants, Protocol Guild, Optimism RetroPGF, etc.), yet several core problems remain unsolved in funding Ethereum’s public goods."
Impact Measurement & Accountability,"Without clear impact feedback loops, it’s hard to know which grants actually benefited Ethereum. Developing impact evaluation standards (e.g. on-chain attestations, retroactive rewards for proven success) is vital. This ties into governance: holding fund recipients accountable and rewarding truly valuable work.",Ecosystem Funding & Coordination,"Sustaining Ethereum’s long-term progress requires robust public goods funding (PGF) and governance mechanisms. The past few years have seen multiple experiments (Gitcoin QF rounds, DAO grants, Protocol Guild, Optimism RetroPGF, etc.), yet several core problems remain unsolved in funding Ethereum’s public goods."
Coordination Among Funders,"Multiple entities (EF, DAOs, Gitcoin, L2s, etc.) fund ecosystem projects, but coordination is limited. Better communication and co-funding initiatives can prevent duplication and ensure critical gaps don’t fall through the cracks.",Ecosystem Funding & Coordination,"Sustaining Ethereum’s long-term progress requires robust public goods funding (PGF) and governance mechanisms. The past few years have seen multiple experiments (Gitcoin QF rounds, DAO grants, Protocol Guild, Optimism RetroPGF, etc.), yet several core problems remain unsolved in funding Ethereum’s public goods."
Governance of Upgrades and Resources,"Broadly, aligning the community on protocol changes and funding priorities is a sociotechnical challenge. Mechanisms like Ethereum’s rough consensus and off-chain governance work, but as more capital and users are at stake, refining governance (possibly through delegated domain experts, on-chain signaling, etc.) will be important to manage growth without centralization.",Ecosystem Funding & Coordination,"Sustaining Ethereum’s long-term progress requires robust public goods funding (PGF) and governance mechanisms. The past few years have seen multiple experiments (Gitcoin QF rounds, DAO grants, Protocol Guild, Optimism RetroPGF, etc.), yet several core problems remain unsolved in funding Ethereum’s public goods."
