Round,Problem,Round Problem Description,Mapped Ethereum Problem (Level 2),Mapped Ethereum Problem (Level 1),Mapped Ethereum Problem (Level 2) Description,Mapped Ethereum Problem (Level 1) Description
"Interop Standards, Infrastructure & Analytics",Lack of Shared Interop Standards,"Ethereum’s rollups and applications lack consistent, widely adopted interoperability standards for messaging, execution, and intent schemas. This forces each project to create custom integrations and adapters, increasing operational complexity and reducing cross-chain reliability.",Cross-Domain Scalability,Scalability & Throughput,Scaling solutions must seamlessly integrate (L1↔L2 and L2↔L2). Efficient bridging and interoperability standards are needed so users can move assets across shards and rollups without trust tradeoffs.,"Ethereum’s foremost challenge is scaling network throughput to meet global demand. The Surge roadmap focuses on scaling via sharding and rollups to reach ~100,000 transactions per second."
"Interop Standards, Infrastructure & Analytics",Lack of Shared Interop Standards,"Ethereum’s rollups and applications lack consistent, widely adopted interoperability standards for messaging, execution, and intent schemas. This forces each project to create custom integrations and adapters, increasing operational complexity and reducing cross-chain reliability.",Cross-Chain Interoperability,Core Infrastructure & Interoperability,"The Ethereum ecosystem now spans L1, many L2s, and sidechains. Standards for messaging and bridging (like ERC standards, CCIP, or trust-minimized bridges) are needed so that these networks can interoperate safely. Without common standards, we risk fragmentation and security holes between chains.","Beyond the protocol and developer tools, the ecosystem relies on a broad infrastructure layer that includes client software, networking, cross-chain coordination, and data access. This category covers the “plumbing” that many take for granted."
"Interop Standards, Infrastructure & Analytics",Underdeveloped Multi-Chain Coordination Infrastructure,"APIs, SDKs, solver frameworks, and execution environments needed for seamless cross-chain interaction are still early-stage or missing. Builders must work around inconsistent interfaces across L1s, L2s, and application chains, raising integration costs and slowing innovation.",Core Libraries and SDKs,Developer Experience & Tooling,"Many widely-used Ethereum libraries, frameworks, and languages (solidity compilers, testing frameworks, etc.) are maintained by small teams on shoestring budgets. Gaps or bugs in these core tools can lead to security issues or slow development for hundreds of projects.","This area is crucial for scalability (better dev tools lead to more efficient and secure dApps, which indirectly improves network performance) and for risk reduction (preventing hacks through improved tooling)."
"Interop Standards, Infrastructure & Analytics",Low Adoption of Intent-Based Architectures,"The Open Intents Framework (OIF) remains early in adoption, with limited analytics, tooling, solver coverage, and production pilots. Without measurement systems and usable infrastructure, intent-based execution cannot become a network-wide standard.",Cross-Chain Interoperability,Core Infrastructure & Interoperability,"The Ethereum ecosystem now spans L1, many L2s, and sidechains. Standards for messaging and bridging (like ERC standards, CCIP, or trust-minimized bridges) are needed so that these networks can interoperate safely. Without common standards, we risk fragmentation and security holes between chains.","Beyond the protocol and developer tools, the ecosystem relies on a broad infrastructure layer that includes client software, networking, cross-chain coordination, and data access. This category covers the “plumbing” that many take for granted."
"Interop Standards, Infrastructure & Analytics",Opaque and Unverifiable Ecosystem Metrics,"Critical data about usage, risk, governance, and cross-chain flows remains locked behind proprietary platforms or inconsistent methodologies. Without open, verifiable metrics, builders and funders cannot make evidence-based decisions, and the ecosystem loses transparency.",Data Indexing & Analytics,Core Infrastructure & Interoperability,"Public goods like block explorers, analytics dashboards, and indexing protocols (The Graph, etc.) enable the community to query and understand blockchain data. Supporting open indexing infrastructure and common data standards ensures transparency and eases development (projects don’t each need to build their own indexers).","Beyond the protocol and developer tools, the ecosystem relies on a broad infrastructure layer that includes client software, networking, cross-chain coordination, and data access. This category covers the “plumbing” that many take for granted."
"Interop Standards, Infrastructure & Analytics",Coordination Barriers for Builders and Funders,"Builders, researchers, DAOs, and funders lack shared interfaces and evaluation frameworks for understanding interoperability needs, duplications, and system-level priorities. This leads to misaligned funding, reinvented tooling, and slow consensus on where ecosystem investment is most impactful.",Coordination of Open-Source Efforts,Developer Experience & Tooling,"Many dev tools are open-source public goods that see duplicated effort and lack sustainable funding. Better coordination (e.g. shared standards, grants, and recognition for maintainer work) can reduce fragmentation.","This area is crucial for scalability (better dev tools lead to more efficient and secure dApps, which indirectly improves network performance) and for risk reduction (preventing hacks through improved tooling)."
Privacy,Lack of Default Onchain Privacy,"Most activity on Ethereum occurs in full public view, with transfers, trades and interactions easily traceable by anyone. Wallets ship without privacy defaults, and users have no seamless, built-in protection. Privacy infrastructure exists but is fragmented, hard to adopt, and not widely integrated across the ecosystem.",Transaction Privacy,Privacy & Identity,"Currently, any on-chain activity is visible to all, which is unsuitable for sensitive applications. Zero-knowledge proofs and zkSNARK-based constructions can enable private transactions or shielded token transfers, but integrating these at scale (e.g. layer-2 privacy chains or L1 shielded pools) is an open problem.","Given that the Ethereum Foundation and community have only a few dedicated teams (e.g. PSE) and grants focusing on privacy, this area is relatively under-resourced. It deserves prioritization to ensure Ethereum doesn’t lose users to more privacy-centric chains, and to uphold values like civil liberties in the Web3 era."
Privacy,Underdeveloped Zero-Knowledge Infrastructure,"The ecosystem lacks robust, widely adopted ZK primitives, proving systems, and developer tooling. Current frameworks require specialized expertise, remain hard to integrate, and limit experimentation. Many core mechanisms for private computation, messaging, voting, and identity remain early stage.",On-Chain Identity & Data,Privacy & Identity,"Users lack native ways to prove identity or credentials without revealing private data. Solutions like decentralized identity (DID) standards, attestations, or Soulbound Tokens are being explored, but ensuring they preserve privacy (selective disclosure, zk-credentials) is key for broad adoption in areas like credit, reputation, or government services.","Given that the Ethereum Foundation and community have only a few dedicated teams (e.g. PSE) and grants focusing on privacy, this area is relatively under-resourced. It deserves prioritization to ensure Ethereum doesn’t lose users to more privacy-centric chains, and to uphold values like civil liberties in the Web3 era."
Privacy,Underdeveloped Zero-Knowledge Infrastructure,"The ecosystem lacks robust, widely adopted ZK primitives, proving systems, and developer tooling. Current frameworks require specialized expertise, remain hard to integrate, and limit experimentation. Many core mechanisms for private computation, messaging, voting, and identity remain early stage.",Efficient ZK Infrastructure,Privacy & Identity,"Wider use of ZK proofs faces usability and performance hurdles (circuit complexity, prover time). Research into more efficient proving systems, hardware acceleration (ZK ASICs), and developer-friendly ZK libraries is crucial. The Verge and other roadmap items rely on ZK tech to make light clients viable, underscoring its importance beyond just privacy.","Given that the Ethereum Foundation and community have only a few dedicated teams (e.g. PSE) and grants focusing on privacy, this area is relatively under-resourced. It deserves prioritization to ensure Ethereum doesn’t lose users to more privacy-centric chains, and to uphold values like civil liberties in the Web3 era."
Privacy,Low Adoption of Privacy Applications,"Privacy-preserving dApps exist but struggle with adoption due to complexity, unclear UX, limited integrations, and uncertain trust signals. Even when privacy features are implemented, usage often remains low and fragmented.",Usability of Dapps,User Experience & Adoption,"Many decentralized applications have clunky UI/UX compared to Web2. Better design principles, performant front-ends, and user-centric features (human-readable names, gas estimations, fee smoothing) will make Ethereum apps more accessible","Ethereum’s scalability impact and security both ultimately benefit from broader adoption: more users bring more value and security to the network, and real-world applications drive demand for scalability and privacy features."
Privacy,Weak Privacy-Preserving Identity Systems,"Ethereum lacks reliable, user-controlled identity systems that preserve privacy. Many digital identity tools expose linkages between accounts, activities, and off-chain profiles. Private identity solutions remain early, fragmented, or hard to integrate.",On-Chain Identity & Data,Privacy & Identity,"Users lack native ways to prove identity or credentials without revealing private data. Solutions like decentralized identity (DID) standards, attestations, or Soulbound Tokens are being explored, but ensuring they preserve privacy (selective disclosure, zk-credentials) is key for broad adoption in areas like credit, reputation, or government services.","Given that the Ethereum Foundation and community have only a few dedicated teams (e.g. PSE) and grants focusing on privacy, this area is relatively under-resourced. It deserves prioritization to ensure Ethereum doesn’t lose users to more privacy-centric chains, and to uphold values like civil liberties in the Web3 era."
Privacy,Weak Privacy-Preserving Identity Systems,"Ethereum lacks reliable, user-controlled identity systems that preserve privacy. Many digital identity tools expose linkages between accounts, activities, and off-chain profiles. Private identity solutions remain early, fragmented, or hard to integrate.",Transaction Privacy,Privacy & Identity,"Currently, any on-chain activity is visible to all, which is unsuitable for sensitive applications. Zero-knowledge proofs and zkSNARK-based constructions can enable private transactions or shielded token transfers, but integrating these at scale (e.g. layer-2 privacy chains or L1 shielded pools) is an open problem.","Given that the Ethereum Foundation and community have only a few dedicated teams (e.g. PSE) and grants focusing on privacy, this area is relatively under-resourced. It deserves prioritization to ensure Ethereum doesn’t lose users to more privacy-centric chains, and to uphold values like civil liberties in the Web3 era."
Privacy,Insufficient Private Governance and Voting,"Most governance on Ethereum is conducted in public, revealing voter preferences, social relationships, and strategic positions. Private voting systems exist but remain early stage, difficult to deploy, and not widely integrated.",Compliance & Confidentiality,Privacy & Identity,"Balancing privacy with compliance is an ecosystem-level challenge. How can Ethereum support use cases like private DAOs or confidential business logic, while still allowing auditability where required? Mechanisms such as viewing keys or zero-knowledge regulatory proofs need development.","Given that the Ethereum Foundation and community have only a few dedicated teams (e.g. PSE) and grants focusing on privacy, this area is relatively under-resourced. It deserves prioritization to ensure Ethereum doesn’t lose users to more privacy-centric chains, and to uphold values like civil liberties in the Web3 era."
Privacy,Insufficient Private Governance and Voting,"Most governance on Ethereum is conducted in public, revealing voter preferences, social relationships, and strategic positions. Private voting systems exist but remain early stage, difficult to deploy, and not widely integrated.",Transaction Privacy,Privacy & Identity,"Currently, any on-chain activity is visible to all, which is unsuitable for sensitive applications. Zero-knowledge proofs and zkSNARK-based constructions can enable private transactions or shielded token transfers, but integrating these at scale (e.g. layer-2 privacy chains or L1 shielded pools) is an open problem.","Given that the Ethereum Foundation and community have only a few dedicated teams (e.g. PSE) and grants focusing on privacy, this area is relatively under-resourced. It deserves prioritization to ensure Ethereum doesn’t lose users to more privacy-centric chains, and to uphold values like civil liberties in the Web3 era."
Privacy,Lack of Privacy Education and Field Building,"Developers and users often lack understanding of privacy risks, available tools, and correct implementation patterns. Educational resources are scattered, inconsistent, or outdated. This limits adoption and slows the growth of the privacy ecosystem.",Documentation & Education for Devs,Developer Experience & Tooling,"Steep learning curves and evolving best practices can discourage new Ethereum developers. Clear, up-to-date documentation, interactive tutorials, and educational resources are essential to grow the pool of competent builders.","This area is crucial for scalability (better dev tools lead to more efficient and secure dApps, which indirectly improves network performance) and for risk reduction (preventing hacks through improved tooling)."
Privacy,Lack of Privacy Education and Field Building,"Developers and users often lack understanding of privacy risks, available tools, and correct implementation patterns. Educational resources are scattered, inconsistent, or outdated. This limits adoption and slows the growth of the privacy ecosystem.",Education & Community Outreach,User Experience & Adoption,"There is still a knowledge gap for new users and developers unfamiliar with Web3. Public education, clear documentation, and outreach programs help demystify Ethereum and attract the next wave of users/developers","Ethereum’s scalability impact and security both ultimately benefit from broader adoption: more users bring more value and security to the network, and real-world applications drive demand for scalability and privacy features."
AI for Public Goods Funding,Opaque Allocation Decisions,"Public goods funding decisions are often difficult to explain, audit, or justify due to opaque criteria, informal judgment, and limited use of structured evidence.",Allocation Effectiveness,Ecosystem Funding & Coordination,"Determining who decides funding priorities and how to aggregate preferences is an open question. Quadratic funding, token-weight votes, and committee review each have trade-offs in fairness and efficiency. The community is still exploring how to best allocate resources in a way that reflects ecosystem needs without succumbing to plutocracy or collusion.","Sustaining Ethereum’s long-term progress requires robust public goods funding (PGF) and governance mechanisms. The past few years have seen multiple experiments (Gitcoin QF rounds, DAO grants, Protocol Guild, Optimism RetroPGF, etc.), yet several core problems remain unsolved in funding Ethereum’s public goods."
AI for Public Goods Funding,Weak Impact Assessment,"Funding systems lack reliable ways to assess, compare, or learn from the real-world impact of funded public goods initiatives.",Impact Measurement & Accountability,Ecosystem Funding & Coordination,"Without clear impact feedback loops, it’s hard to know which grants actually benefited Ethereum. Developing impact evaluation standards (e.g. on-chain attestations, retroactive rewards for proven success) is vital. This ties into governance: holding fund recipients accountable and rewarding truly valuable work.","Sustaining Ethereum’s long-term progress requires robust public goods funding (PGF) and governance mechanisms. The past few years have seen multiple experiments (Gitcoin QF rounds, DAO grants, Protocol Guild, Optimism RetroPGF, etc.), yet several core problems remain unsolved in funding Ethereum’s public goods."
AI for Public Goods Funding,Bias and Inequity Risks,"Funding processes can unintentionally reinforce bias, exclusion, or power imbalances due to skewed data, implicit assumptions, or uneven access to resources.",Allocation Effectiveness,Ecosystem Funding & Coordination,"Determining who decides funding priorities and how to aggregate preferences is an open question. Quadratic funding, token-weight votes, and committee review each have trade-offs in fairness and efficiency. The community is still exploring how to best allocate resources in a way that reflects ecosystem needs without succumbing to plutocracy or collusion.","Sustaining Ethereum’s long-term progress requires robust public goods funding (PGF) and governance mechanisms. The past few years have seen multiple experiments (Gitcoin QF rounds, DAO grants, Protocol Guild, Optimism RetroPGF, etc.), yet several core problems remain unsolved in funding Ethereum’s public goods."
AI for Public Goods Funding,Fragmented Information Signals,"Relevant data about projects, communities, and funding outcomes is scattered across platforms, formats, and stakeholders, limiting holistic understanding.",Coordination Among Funders,Ecosystem Funding & Coordination,"Multiple entities (EF, DAOs, Gitcoin, L2s, etc.) fund ecosystem projects, but coordination is limited. Better communication and co-funding initiatives can prevent duplication and ensure critical gaps don’t fall through the cracks.","Sustaining Ethereum’s long-term progress requires robust public goods funding (PGF) and governance mechanisms. The past few years have seen multiple experiments (Gitcoin QF rounds, DAO grants, Protocol Guild, Optimism RetroPGF, etc.), yet several core problems remain unsolved in funding Ethereum’s public goods."
AI for Public Goods Funding,Poor Decision Scalability,"As funding ecosystems grow, manual or ad hoc decision processes struggle to scale across many proposals, domains, or communities.",Governance of Upgrades and Resources,Ecosystem Funding & Coordination,"Broadly, aligning the community on protocol changes and funding priorities is a sociotechnical challenge. Mechanisms like Ethereum’s rough consensus and off-chain governance work, but as more capital and users are at stake, refining governance (possibly through delegated domain experts, on-chain signaling, etc.) will be important to manage growth without centralization.","Sustaining Ethereum’s long-term progress requires robust public goods funding (PGF) and governance mechanisms. The past few years have seen multiple experiments (Gitcoin QF rounds, DAO grants, Protocol Guild, Optimism RetroPGF, etc.), yet several core problems remain unsolved in funding Ethereum’s public goods." 
AI for Public Goods Funding,Weak Governance Feedback Loops,"Funding systems often lack mechanisms to learn from past decisions, incorporate stakeholder feedback, or adapt governance rules over time.",Governance of Upgrades and Resources,Ecosystem Funding & Coordination,"Broadly, aligning the community on protocol changes and funding priorities is a sociotechnical challenge. Mechanisms like Ethereum’s rough consensus and off-chain governance work, but as more capital and users are at stake, refining governance (possibly through delegated domain experts, on-chain signaling, etc.) will be important to manage growth without centralization.","Sustaining Ethereum’s long-term progress requires robust public goods funding (PGF) and governance mechanisms. The past few years have seen multiple experiments (Gitcoin QF rounds, DAO grants, Protocol Guild, Optimism RetroPGF, etc.), yet several core problems remain unsolved in funding Ethereum’s public goods."
Public Goods Tooling,Fragmented Public Goods Primitives,"Public goods tooling across Ethereum is built on overlapping but poorly coordinated primitives, leading to fragmented standards, duplicated effort, and limited composability between tools.",Coordination of Open-Source Efforts,Developer Experience & Tooling,"Many dev tools are open-source public goods that see duplicated effort and lack sustainable funding. Better coordination (e.g. shared standards, grants, and recognition for maintainer work) can reduce fragmentation.","This area is crucial for scalability (better dev tools lead to more efficient and secure dApps, which indirectly improves network performance) and for risk reduction (preventing hacks through improved tooling)."
Public Goods Tooling,Poor UX for Public Goods,"Many public goods tools expose complex workflows, unclear interfaces, or high cognitive load, making participation difficult for builders, funders, and communities.",Usability of Dapps,User Experience & Adoption,"Many decentralized applications have clunky UI/UX compared to Web2. Better design principles, performant front-ends, and user-centric features (human-readable names, gas estimations, fee smoothing) will make Ethereum apps more accessible","Ethereum’s scalability impact and security both ultimately benefit from broader adoption: more users bring more value and security to the network, and real-world applications drive demand for scalability and privacy features."
Public Goods Tooling,Unverifiable Impact and Progress,"Impact, milestones, and progress in public goods work are often reported inconsistently or offchain, making them hard to verify, compare, or reuse across tools.",Impact Measurement & Accountability,Ecosystem Funding & Coordination,"Without clear impact feedback loops, it’s hard to know which grants actually benefited Ethereum. Developing impact evaluation standards (e.g. on-chain attestations, retroactive rewards for proven success) is vital. This ties into governance: holding fund recipients accountable and rewarding truly valuable work.","Sustaining Ethereum’s long-term progress requires robust public goods funding (PGF) and governance mechanisms. The past few years have seen multiple experiments (Gitcoin QF rounds, DAO grants, Protocol Guild, Optimism RetroPGF, etc.), yet several core problems remain unsolved in funding Ethereum’s public goods."
Public Goods Tooling,Low Tooling Maturity,"Many public goods tools remain stuck at prototype or early beta stages, lacking reliability, documentation, or readiness for broader adoption.",Coordination of Open-Source Efforts,Developer Experience & Tooling,"Many dev tools are open-source public goods that see duplicated effort and lack sustainable funding. Better coordination (e.g. shared standards, grants, and recognition for maintainer work) can reduce fragmentation.","This area is crucial for scalability (better dev tools lead to more efficient and secure dApps, which indirectly improves network performance) and for risk reduction (preventing hacks through improved tooling)."
Public Goods Tooling,Low Tooling Maturity,"Many public goods tools remain stuck at prototype or early beta stages, lacking reliability, documentation, or readiness for broader adoption.",Education & Community Outreach,User Experience & Adoption,"There is still a knowledge gap for new users and developers unfamiliar with Web3. Public education, clear documentation, and outreach programs help demystify Ethereum and attract the next wave of users/developers","Ethereum’s scalability impact and security both ultimately benefit from broader adoption: more users bring more value and security to the network, and real-world applications drive demand for scalability and privacy features."
Public Goods Tooling,Unsustainable Tool Stewardship,"Public goods tools often lack sustainable funding, governance, or maintenance models, placing long-term viability at risk.",Sustainable Funding Mechanisms,Ecosystem Funding & Coordination,"How to continuously deploy funds to essential projects (clients, libraries, research) without relying on one-off grants or altruism. Challenges include designing funding streams (treasury inflows, protocol revenue allocation) and deciding when and how funds should flow for maximum impact.","Sustaining Ethereum’s long-term progress requires robust public goods funding (PGF) and governance mechanisms. The past few years have seen multiple experiments (Gitcoin QF rounds, DAO grants, Protocol Guild, Optimism RetroPGF, etc.), yet several core problems remain unsolved in funding Ethereum’s public goods." 
